cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
K11_B003518,1,"['16', '394', '457', '699', '698', '697', '744', '697', '697', '761', '466', '590', '34']",1,"['14', '377', '457', '663', '662', '661', '708', '661', '661', '725', '466', '591', '34']"
K11_B003522,1,"['154', '148', '159', '194', '190']",1,"['154', '148', '160', '194', '190']"
K11_B003523,1,"['342', '577', '579', '668']",1,"['345', '531', '579', '668']"
K11_B003528,1,"['14', '40']",1,"['14', '40']"
K11_B003995,1,"['126', '122', '117', '117', '169']",1,"['126', '122', '117', '117', '169']"
K12_1001000407,1,"['189', '317', '309', '390', '311', '319']",1,"['319', '625', '635', '762', '611', '652', '646']"
K12_1001000408,1,"['469', '539', '562', '538', '437']",1,"['914', '3', '1035', '1121', '1142', '1090', '1090', '1090', '1190', '1092', '1042', '923', '892']"
K12_B002572,1,"['74', '624', '795', '725', '593', '593', '593', '671', '684', '1162']",1,"['73', '595', '795', '728', '567', '567', '567', '645', '657', '1161']"
K12_B003067,1,['261'],1,['261']
K12_B003119,0,0,0,0
K12_B003527,1,"['15', '80', '65', '124']",1,"['15', '80', '65', '124']"
K12_B003588,1,"['1746', '2064', '2137', '1974', '2003']",1,"['12', '1754', '1', '2064', '2135', '1980', '2010']"
K12_B003775,1,"['141', '277', '373', '263', '234', '351']",1,"['141', '277', '373', '263', '234', '351']"
K12_B003777,1,"['90', '276', '230', '185', '185', '262']",1,"['91', '276', '230', '185', '185', '262']"
K12_B003920,1,"['82', '17', '17', '17', '17', '17', '44']",1,"['82', '17', '17', '17', '17', '17']"
K13_1001000339,1,"['16', '55', '48']",1,"['16', '55', '48']"
K13_B000420,1,"['606', '617']",1,"['550', '617']"
K13_B001016,1,"['184', '229']",1,"['184', '229']"
K13_B001557,1,"['7', '1', '111', '117', '113']",1,"['7', '1', '111', '117', '113']"
