"","x"
"659","C5_1001000314"
"660","C5_1001000315"
"661","C5_1001000320"
"662","C8_1001000315"
"663","C9_1001000314"
"664","C9_1001000315"
"665","D10_1001000315"
"666","D1_1001000315"
"667","D2_1001000315"
"668","D3_1001000320"
"669","D4_1001000314"
"670","D4_1001000315"
"671","D5_1001000314"
"672","D7_1001000315"
"673","D9_1001000315"
"674","D9_1001000320"
"675","E10_1001000315"
"676","E11_1001000315"
"677","E2_1001000315"
"678","E3_1001000315"
"679","E4_1001000315"
"680","E4_1001000320"
"681","E5_1001000315"
"682","E7_1001000314"
"683","E9_1001000320"
"684","F10_1001000315"
"685","F12_1001000315"
"686","F1_1001000314"
"687","F3_1001000315"
"688","F4_1001000315"
"689","F6_1001000315"
"690","F9_1001000315"
"691","G10_1001000315"
"692","G10_1001000320"
"693","G12_1001000315"
"694","G2_1001000315"
"695","G3_1001000315"
"696","G4_1001000315"
"697","G5_1001000315"
"698","G6_1001000315"
"699","G7_1001000315"
"700","G9_1001000315"
"701","H2_1001000314"
"702","H2_1001000315"
"703","H4_1001000315"
"704","H5_1001000315"
"705","H7_1001000315"
"706","A10_1001000329"
"707","A11_1001000329"
"708","A5_1001000329"
"709","B10_1001000327"
"710","B11_1001000322"
"711","B11_1001000329"
"712","B1_1001000329"
"713","B2_1001000329"
"714","B4_1001000327"
"715","B4_1001000329"
"716","B6_1001000327"
"717","B6_1001000329"
"718","B7_1001000327"
"719","B8_1001000327"
"720","B9_1001000327"
"721","B9_1001000329"
"722","C10_1001000329"
"723","C11_1001000329"
"724","C12_1001000327"
"725","C4_1001000329"
"726","C6_1001000329"
"727","C7_1001000327"
"728","C7_1001000329"
"729","D11_1001000327"
"730","D12_1001000329"
"731","D2_1001000327"
"732","D2_1001000329"
"733","D3_1001000327"
"734","D3_1001000329"
"735","D5_1001000322"
"736","D7_1001000327"
"737","D7_1001000329"
"738","D8_1001000327"
"739","D9_1001000327"
"740","D9_1001000329"
"741","E11_1001000329"
"742","E12_1001000329"
"743","E2_1001000327"
"744","E3_1001000329"
"745","E4_1001000322"
"746","E5_1001000327"
"747","E6_1001000327"
"748","E6_1001000329"
"749","E7_1001000329"
"750","E9_1001000329"
"751","F11_1001000327"
"752","F12_1001000329"
"753","F1_1001000329"
"754","F2_1001000329"
"755","F3_1001000329"
"756","F4_1001000329"
"757","F5_1001000329"
"758","F7_1001000329"
"759","F9_1001000327"
"760","G2_1001000329"
"761","G4_1001000329"
"762","G6_1001000329"
"763","G8_1001000329"
"764","H11_1001000329"
"765","H3_1001000327"
"766","H4_1001000329"
"767","H5_1001000327"
"768","H5_1001000329"
"769","H8_1001000329"
"770","H9_1001000329"
"771","A10_1001000409"
"772","A11_1001000409"
"773","A12_1001000409"
"774","A13_1001000409"
"775","A14_1001000409"
"776","A15_1001000409"
"777","A16_1001000409"
"778","A16_B003048"
"779","A17_1001000409"
"780","A18_1001000409"
"781","A19_1001000409"
"782","A20_1001000409"
"783","A21_1001000409"
"784","A21_B003046"
"785","A22_1001000409"
"786","A3_1001000409"
"787","A4_1001000409"
"788","A5_1001000409"
"789","A6_1001000409"
"790","A6_1001000410"
"791","A7_1001000409"
"792","A9_1001000409"
"793","B10_1001000409"
"794","B11_1001000409"
"795","B12_1001000409"
"796","B13_1001000409"
"797","B14_1001000409"
"798","B16_1001000409"
"799","B17_1001000409"
"800","B18_1001000409"
"801","B19_1001000409"
"802","B19_1001000410"
"803","B2_1001000409"
"804","B20_1001000409"
"805","B22_1001000409"
"806","B4_1001000409"
"807","B6_1001000409"
"808","B7_1001000409"
"809","B8_1001000409"
"810","B9_1001000409"
"811","B9_B003048"
"812","C1_1001000409"
"813","C10_1001000409"
"814","C11_1001000409"
"815","C12_1001000409"
"816","C13_1001000409"
"817","C14_1001000409"
"818","C15_1001000409"
"819","C16_1001000409"
"820","C16_1001000410"
"821","C17_1001000409"
"822","C17_1001000410"
"823","C18_1001000409"
"824","C19_1001000409"
"825","C19_B003048"
"826","C20_1001000409"
"827","C20_1001000410"
"828","C22_1001000409"
"829","C3_1001000409"
"830","C5_1001000409"
"831","C7_1001000409"
"832","C8_1001000409"
"833","C8_1001000410"
"834","C9_1001000409"
"835","C9_1001000410"
"836","D1_1001000409"
"837","D10_1001000409"
"838","D11_1001000409"
"839","D12_1001000409"
"840","D12_B003046"
"841","D13_1001000409"
"842","D13_1001000410"
"843","D14_1001000409"
"844","D14_B003046"
"845","D15_1001000409"
"846","D16_1001000409"
"847","D17_1001000409"
"848","D18_1001000409"
"849","D19_1001000409"
"850","D20_1001000409"
"851","D21_1001000409"
"852","D22_1001000409"
"853","D22_B003046"
"854","D4_1001000409"
"855","D5_1001000409"
"856","D6_1001000409"
"857","D7_1001000409"
"858","D9_1001000409"
"859","E1_B003048"
"860","E10_1001000409"
"861","E11_1001000409"
"862","E12_1001000409"
"863","E13_1001000409"
"864","E14_1001000409"
"865","E15_1001000409"
"866","E16_1001000409"
"867","E17_1001000409"
"868","E18_1001000409"
"869","E18_B003048"
"870","E19_1001000409"
"871","E19_B003048"
"872","E2_1001000409"
"873","E20_1001000409"
"874","E20_B003046"
"875","E21_1001000409"
"876","E22_1001000409"
"877","E4_1001000409"
"878","E5_1001000409"
"879","E6_1001000409"
"880","E6_1001000410"
"881","E7_1001000409"
"882","E8_1001000409"
"883","E9_1001000409"
"884","F1_1001000409"
"885","F10_1001000409"
"886","F11_1001000409"
"887","F12_1001000409"
"888","F13_1001000409"
"889","F14_1001000409"
"890","F14_1001000410"
"891","F15_1001000409"
"892","F15_B003046"
"893","F15_B003048"
"894","F16_1001000409"
"895","F17_1001000409"
"896","F18_1001000409"
"897","F19_1001000409"
"898","F2_1001000409"
"899","F20_1001000409"
"900","F21_1001000409"
"901","F21_B003048"
"902","F22_1001000409"
"903","F3_1001000409"
"904","F5_1001000409"
"905","F6_1001000409"
"906","F7_1001000409"
"907","F8_1001000409"
"908","F8_B003048"
"909","F9_1001000409"
"910","F9_1001000411"
"911","G1_1001000409"
"912","G10_1001000409"
"913","G11_1001000409"
"914","G12_1001000409"
"915","G12_B003048"
"916","G13_1001000409"
"917","G14_1001000410"
"918","G15_1001000409"
"919","G15_B003046"
"920","G16_1001000409"
"921","G17_1001000409"
"922","G19_1001000409"
"923","G19_B003046"
"924","G2_1001000410"
"925","G20_1001000409"
"926","G21_1001000409"
"927","G22_1001000409"
"928","G4_1001000409"
"929","G5_1001000409"
"930","G6_1001000409"
"931","G8_1001000409"
"932","G9_1001000409"
"933","H1_B003048"
"934","H10_1001000409"
"935","H11_1001000409"
"936","H12_1001000409"
"937","H12_B003046"
"938","H13_1001000409"
"939","H14_1001000409"
"940","H15_1001000409"
"941","H15_B003046"
"942","H16_1001000409"
"943","H17_1001000409"
"944","H18_1001000409"
"945","H19_1001000409"
"946","H20_1001000409"
"947","H21_1001000409"
"948","H22_1001000409"
"949","H22_B003046"
"950","H4_1001000409"
"951","H5_1001000409"
"952","H7_1001000409"
"953","H7_1001000410"
"954","H8_1001000409"
"955","H9_1001000409"
"956","I10_1001000409"
"957","I11_1001000409"
"958","I12_1001000409"
"959","I13_1001000409"
"960","I14_1001000409"
"961","I15_1001000409"
"962","I16_1001000409"
"963","I16_B003046"
"964","I17_1001000409"
"965","I18_1001000409"
"966","I18_1001000410"
"967","I18_B003046"
"968","I19_1001000409"
"969","I20_1001000409"
"970","I20_1001000410"
"971","I20_B003048"
"972","I21_1001000409"
"973","I22_1001000409"
"974","I22_B003048"
"975","I5_1001000409"
"976","I7_1001000409"
"977","I8_1001000409"
"978","I9_1001000409"
"979","J1_1001000409"
"980","J10_1001000409"
"981","J11_1001000409"
"982","J12_1001000409"
"983","J13_1001000409"
"984","J14_1001000409"
"985","J15_1001000409"
"986","J16_1001000409"
"987","J17_1001000409"
"988","J18_1001000409"
"989","J19_1001000409"
"990","J2_B003048"
"991","J20_1001000409"
"992","J20_1001000410"
"993","J21_1001000409"
"994","J3_1001000409"
"995","J4_1001000409"
"996","J5_1001000409"
"997","J6_1001000409"
"998","J7_1001000409"
"999","J8_1001000409"
"1000","J9_1001000409"
"1001","K1_1001000410"
"1002","K10_1001000409"
"1003","K11_1001000409"
"1004","K12_1001000409"
"1005","K13_1001000409"
"1006","K14_1001000409"
"1007","K15_1001000409"
"1008","K16_1001000409"
"1009","K17_1001000409"
"1010","K19_1001000409"
"1011","K2_1001000409"
"1012","K20_1001000409"
"1013","K21_1001000409"
"1014","K22_1001000409"
"1015","K3_1001000409"
"1016","K4_1001000409"
"1017","K5_1001000409"
"1018","K6_1001000409"
"1019","K7_1001000409"
"1020","K8_1001000409"
"1021","K8_1001000410"
"1022","K9_1001000409"
"1023","L1_1001000409"
"1024","L10_1001000409"
"1025","L11_1001000409"
"1026","L12_1001000409"
"1027","L13_1001000409"
"1028","L14_1001000409"
"1029","L15_1001000409"
"1030","L16_1001000409"
"1031","L17_1001000409"
"1032","L18_1001000409"
"1033","L18_B003048"
"1034","L19_1001000409"
"1035","L2_1001000409"
"1036","L20_1001000409"
"1037","L21_1001000409"
"1038","L21_1001000410"
"1039","L22_1001000409"
"1040","L3_1001000409"
"1041","L4_1001000409"
"1042","L4_1001000410"
"1043","L5_1001000409"
"1044","L6_1001000409"
"1045","L7_1001000409"
"1046","L8_1001000409"
"1047","L9_1001000409"
"1048","L9_1001000410"
"1049","M10_1001000409"
"1050","M10_B003048"
"1051","M11_1001000409"
"1052","M12_1001000409"
"1053","M12_1001000410"
"1054","M13_1001000409"
"1055","M14_1001000409"
"1056","M15_1001000409"
"1057","M16_1001000409"
"1058","M16_B003046"
"1059","M17_1001000409"
"1060","M19_1001000409"
"1061","M2_1001000409"
"1062","M20_1001000409"
"1063","M21_1001000409"
"1064","M22_1001000409"
"1065","M3_1001000409"
"1066","M4_1001000409"
"1067","M5_1001000409"
"1068","M6_1001000409"
"1069","M7_1001000409"
"1070","M9_1001000409"
"1071","N1_1001000409"
"1072","N10_1001000409"
"1073","N11_1001000409"
"1074","N12_1001000409"
"1075","N12_B003048"
"1076","N13_1001000409"
"1077","N14_1001000409"
"1078","N15_1001000409"
"1079","N16_1001000409"
"1080","N16_B003046"
"1081","N17_1001000409"
"1082","N19_1001000409"
"1083","N19_1001000410"
"1084","N19_B003048"
"1085","N2_1001000409"
"1086","N20_1001000409"
"1087","N21_1001000409"
"1088","N21_B003046"
"1089","N21_B003048"
"1090","N22_1001000409"
"1091","N3_1001000409"
"1092","N4_1001000409"
"1093","N4_1001000410"
"1094","N6_1001000409"
"1095","N6_B003048"
"1096","N7_1001000409"
"1097","N9_1001000409"
"1098","O1_1001000409"
"1099","O10_1001000409"
"1100","O11_1001000409"
"1101","O12_1001000409"
"1102","O12_1001000410"
"1103","O13_1001000409"
"1104","O13_1001000410"
"1105","O14_1001000409"
"1106","O15_1001000409"
"1107","O16_1001000409"
"1108","O16_B003048"
"1109","O17_1001000409"
"1110","O18_1001000409"
"1111","O18_B003048"
"1112","O19_1001000409"
"1113","O2_1001000409"
"1114","O20_1001000409"
"1115","O21_1001000409"
"1116","O22_1001000409"
"1117","O3_1001000409"
"1118","O4_1001000409"
"1119","O5_1001000409"
"1120","O7_1001000409"
"1121","O8_1001000409"
"1122","O9_1001000409"
"1123","P1_1001000409"
"1124","P1_1001000410"
"1125","P10_1001000409"
"1126","P11_1001000409"
"1127","P12_1001000409"
"1128","P12_1001000410"
"1129","P12_B003046"
"1130","P13_1001000410"
"1131","P14_1001000409"
"1132","P15_1001000409"
"1133","P16_1001000409"
"1134","P17_1001000409"
"1135","P17_B003046"
"1136","P18_1001000409"
"1137","P18_B003048"
"1138","P19_1001000409"
"1139","P2_1001000409"
"1140","P20_1001000409"
"1141","P20_B003046"
"1142","P21_1001000409"
"1143","P21_B003048"
"1144","P22_1001000409"
"1145","P3_1001000409"
"1146","P4_1001000409"
"1147","P6_1001000409"
"1148","P6_B003048"
"1149","P7_1001000409"
"1150","P7_1001000410"
"1151","P8_1001000409"
"1152","P9_1001000409"
"1153","M5_B001797"
"1154","P1_1001000413"
"1155","A15_B003067"
"1156","E2_B003067"
"1157","H10_B003648"
"1158","L18_B003648"
"1159","M10_B003067"
"1160","N5_B003067"
"1161","P5_B003648"
"1162","P6_B003648"
"1163","A17_B003659"
"1164","E8_B003071"
"1165","F15_B003659"
"1166","H11_B003659"
"1167","H18_B003659"
"1168","I11_B003071"
"1169","J16_B003070"
